node,degree,clustering,betweenness,closeness,eigenvector,triangles,avg_neigh_degree,page_rank,k_core_number,harmonic_c,load_c,avg_neighbor_clustering,two_hop_neighbors,constraint,participation_coeff
1,1.1695825411995218,0.41911764705882354,1.001573703597329,0.2613761408505405,1.0000398418689564,1.015349243914306,1.3043556125381308,0.01535910228872149,1.2114030285232422,-0.4959200465634086,1.0016029919902503,0.47840408345741864,-1.1496157286721407,0.3136333812676944,0.0
2,1.0986158873244944,0.8888888888888888,1.0000429762143819,0.26125776397515527,1.0000147194267746,1.0106298244205703,1.3167384307507126,0.01425151398683472,1.1315910827278421,-0.5170849262855232,1.000043776673081,0.6030240759660275,-1.1259982298706424,0.45917630549880845,0.0
3,1.1695825411995218,0.6323529411764706,1.0009530560074615,0.2613761408505405,1.0000437322304692,1.0233497875103172,1.3878511613951634,0.015017443147696818,1.2114030285232422,-0.4959200465634086,1.0009707990480265,0.47903424145185,-1.1496157286721407,0.31652058291582774,0.0
4,1.0986158873244944,0.8666666666666667,1.0001041314892831,0.26125776397515527,1.0000147389005671,1.010351524995516,1.261535986566468,0.015443207147876526,1.1315910827278421,-0.5170849262855232,1.000106070942578,0.8475294986479207,-1.1259982298706424,0.5659407305924163,0.0
5,1.129576243778634,0.3333333333333333,1.0012474873468922,0.2613084837895554,1.0000779859755344,1.0067266315848198,1.322024147255394,0.014224911974763783,1.1520625452902713,-0.5080142635474738,1.001270708338157,0.539993278833883,-1.1361200150712845,0.3406545500415822,0.0
6,1.055924257564009,0.9333333333333333,1.0000138848250681,0.26119016817593793,1.0000143071376415,1.0033689527641658,1.4138448776763424,0.013417103687323744,1.0457052450394695,-0.5291791432695884,1.0000141434423948,0.6554063072703443,-1.1125025162697864,0.643532204559078,0.0
7,1.1987113678054417,0.43157894736842106,1.0921217790549393,0.2747686445291236,1.0016914060733786,1.0222499869440247,1.2867838476488704,0.016207303017934785,1.191951159974164,-0.05296934952194809,1.0917845687753471,0.4734354556906091,-0.7852314614490246,0.3217610005544999,0.30822070014844893
8,1.0774815324621323,0.6785714285714286,1.0001561931682972,0.2612239617026782,1.0000144815949599,1.0047693492085634,1.305399321834465,0.01540691408188477,1.0457052450394695,-0.5231320347775551,1.0001591021953964,0.7248880637860915,-1.1192503730702144,0.608625612440107,0.0
9,1.512524916282558,0.39724310776942356,1.0092678371402073,0.2620546433902265,1.0001459153118781,1.1642425790511883,1.2600166999692441,0.02449810693304296,1.3570169989825147,-0.37497787672275057,1.0094396529441707,0.5025459688062189,-1.2845728646807022,0.21976814665639455,0.0
10,1.0986158873244944,0.8222222222222222,1.0000282175341544,0.26125776397515527,1.000050803221444,1.0097946960474629,1.5175995168259384,0.011621043825272482,1.1520625452902713,-0.5170849262855232,1.0000287431072132,0.38733939269894313,-1.1259982298706424,0.36021952581785616,0.0
13,1.2999447012364107,0.6516129032258065,1.0009967012536822,0.26161321671525756,1.0000727446554172,1.0813389025759028,1.3507142663761267,0.018183562841838134,1.3570169989825147,-0.45359028711917676,1.0010152564257975,0.4677597408884256,-1.1968507262751371,0.2628650738493439,0.0
14,1.149753410777237,0.7428571428571429,1.0003158621327646,0.2613423079412336,1.0000151946577884,1.0211490018683393,1.2307661887474175,0.01698952560672194,1.1520625452902713,-0.5019671550554405,1.0003217444438892,0.6130206910732112,-1.1428678718717127,0.41337381823528746,0.0
16,1.0881000231317732,0.6666666666666666,1.0001130492493395,0.2612408617454875,1.0000172439852035,1.0061677965662292,1.4370212305933425,0.011543095671958216,1.1315910827278421,-0.5201084805315391,1.0001151547867226,0.3960450855815496,-1.1226243014704285,0.38682720983723856,0.0
17,1.129576243778634,0.7307692307692307,1.0002323525944967,0.2613084837895554,1.0000150091254538,1.015349243914306,1.2628430279965734,0.016124821682587526,1.1315910827278421,-0.5080142635474738,1.0002366798886504,0.5289404002227198,-1.1361200150712845,0.4076638193640544,0.0
19,1.1597103574325403,0.2833333333333333,1.002860829954357,0.2613592233009709,1.0000152562227738,1.0089588764279858,1.1860608474046346,0.019510077923053554,1.0894947998986106,-0.49894360080942457,1.0029140384412771,0.649653030180209,-1.1462418002719266,0.36551674086051983,0.0
20,1.149753410777237,0.6857142857142857,1.0003843536289008,0.2613423079412336,1.000015183583179,1.0194952949038931,1.2206921780787603,0.017116523478810465,1.1315910827278421,-0.5019671550554405,1.0003915112099089,0.6510438661552097,-1.1428678718717127,0.4206012965330577,0.0
21,1.572161977251366,0.3490384615384615,1.4358202347417504,0.2756125861715924,1.0017098718471578,1.1862567487917106,1.2599895532027003,0.02632170099576894,1.3570169989825147,0.08309059154879253,1.4375023643769584,0.5209631916499915,-0.9370582394586563,0.20461561923553162,0.1740570538305345
22,1.1090320443631043,0.4727272727272727,1.000379223744925,0.2612746683921061,1.000068312797641,1.0067266315848198,1.3447750297647485,0.012800653447979472,1.1315910827278421,-0.5140613720395072,1.0003862858137023,0.45061934082347116,-1.1293721582708565,0.37323237036932955,0.0
23,1.1695825411995218,0.16911764705882354,1.003874486801491,0.2613761408505405,1.0000153415500326,1.005888262631269,1.144164627120072,0.020107867626585476,1.0894947998986106,-0.4959200465634086,1.0039465112575234,0.6216498814773271,-1.1496157286721407,0.35160590296612526,0.0
24,1.1597103574325403,0.9,1.0000773696298406,0.2613592233009709,1.0000163941247726,1.0293776869761422,1.253979110947851,0.015107617684223522,1.2493985581143994,-0.49894360080942457,1.000078810662035,0.6411318273184369,-1.1462418002719266,0.40204334601808633,0.0
25,1.601147748611791,0.2885763000852515,1.0300378366878886,0.26225888160031174,1.0001378712159,1.1745831663284028,1.2170293335207192,0.02829156518327977,1.3570169989825147,-0.33869522577055344,1.030589017012452,0.5340681891384547,-1.3250600054832706,0.20278373170162456,0.0
26,1.59395072236948,0.4113257243195786,1.0108925266163418,0.26224184959085595,1.0001537903543776,1.235264943643669,1.259056226984195,0.026311112328132456,1.3570169989825147,-0.3417187800165694,1.0110942979411857,0.5176057523854716,-1.3216860770830565,0.21546762479471615,0.0
27,1.0449788658961878,0.9,1.0000173560012124,0.2611732746911584,1.0000253737199354,1.0019665990606261,1.6140971356141696,0.00995011441796195,1.0457052450394695,-0.5322026975156057,1.0000176792717383,0.2983962166633314,-1.1091285878695722,0.5108231124509109,0.0
28,1.129576243778634,0.7692307692307693,1.0002156914158185,0.2613084837895554,1.0000150019490466,1.0161798073963668,1.255099859472584,0.015975581660017668,1.1520625452902713,-0.5080142635474738,1.0002197084491649,0.6287667804789644,-1.1361200150712845,0.42925609362486566,0.0
29,1.129576243778634,0.46153846153846156,1.000789334903864,0.2613084837895554,1.000019294653277,1.009516166397547,1.3467506098282684,0.013840142875029283,1.1315910827278421,-0.5080142635474738,1.0008040311729522,0.47485305846926196,-1.1361200150712845,0.3437403373848129,0.0
30,1.1695825411995218,0.5,1.0007746232827806,0.2613761408505405,1.0000634603579892,1.018391331729028,1.3841275162302504,0.014566964382195895,1.2305474502296982,-0.4959200465634086,1.0007890457507944,0.390290804384546,-1.1496157286721407,0.29187303370945566,0.0
31,1.2271489583311619,0.43478260869565216,1.0027872966867566,0.2614776921582594,1.0000957601359883,1.0299239284236137,1.3178002390435148,0.017302079591212723,1.2305474502296982,-0.47777872108731,1.0028391394639318,0.49256709257106435,-1.169859299073425,0.2846556189143917,0.0
32,1.055924257564009,1.0,1.0,0.26119016817593793,1.000014318683342,1.0036491883714385,1.4355129335831742,0.012160977407030439,1.0678245123870238,-0.5291791432695884,1.0,0.6135361404001772,-1.1125025162697864,0.5858954495949115,0.0
33,1.0114322555378688,1.0,1.0,0.26112260734609416,1.0000139470713563,1.0,2.040369664179284,0.009577104787442375,1.0,-0.5412733602536536,1.0,0.5209808265729373,-1.0990068026689301,0.7102290514099979,0.0
35,1.0114322555378688,1.0,1.0,0.26112260734609416,1.0000139527991017,1.0,2.064120308281559,0.008575338776353693,1.0,-0.5412733602536536,1.0,0.32401112960324036,-1.0990068026689301,0.7102290514099979,0.0
36,1.1090320443631043,0.9636363636363636,1.0000154275715085,0.2612746683921061,1.0000155274201068,1.0142407679279115,1.2813314883351137,0.013602454894058385,1.1520625452902713,-0.5140613720395072,1.0000157149236466,0.6953326549055521,-1.1293721582708565,0.4854329378049733,0.0
38,1.0881000231317732,0.3611111111111111,1.0004155080145352,0.2612408617454875,1.0000475775217434,1.0030886388667108,1.4180522146709111,0.011885345572803706,1.1107423863154056,-0.5201084805315391,1.0004232456417859,0.3815560248559008,-1.1226243014704285,0.36713124253317997,0.0
39,1.149753410777237,0.49523809523809526,1.0005401724166378,0.2613423079412336,1.0000320911938618,1.0139634595878746,1.3720882248115895,0.013952906382977656,1.191951159974164,-0.5019671550554405,1.000550230917286,0.4470910075520963,-1.1428678718717127,0.3178415801729762,0.0
40,1.4102460509868802,0.4048625792811839,1.0077763932246966,0.26183374400207493,1.0001176500662337,1.101947756488989,1.2818501137409108,0.022262728638865942,1.3570169989825147,-0.41428408192096366,1.0079206673903416,0.46180173334490165,-1.2407117954779197,0.2242517564089065,0.0
41,1.236482823768966,0.4673913043478261,1.0026409290985645,0.26149462504856885,1.0000160153833686,1.0350988452045078,1.1413838535531224,0.021570953743007933,1.1520625452902713,-0.47475516684129265,1.0026900531347966,0.6363614294377328,-1.173233227473639,0.3562230229830903,0.0
42,1.0114322555378688,1.0,1.0,0.26112260734609416,1.0000139470713563,1.0,2.040369664179284,0.009577104787442375,1.0,-0.5412733602536536,1.0,0.5209808265729373,-1.0990068026689301,0.7102290514099979,0.0
44,1.055924257564009,1.0,1.0,0.26119016817593793,1.0000143447636212,1.0036491883714385,1.4844777961633189,0.011702259164503103,1.0678245123870238,-0.5291791432695884,1.0,0.46953100657407165,-1.1125025162697864,0.5024559110353625,0.0
45,1.119351277734844,0.7272727272727273,1.0001711207918673,0.2612915749967646,1.0000509369921553,1.0128534669877272,1.4326805967968337,0.012633390391782157,1.1721765387569514,-0.5110378177934898,1.000174307814978,0.4700253943292618,-1.1327460866710706,0.357233476741437,0.0
46,1.0449788658961878,1.0,1.0,0.2611732746911584,1.0000142377734103,1.002247226776261,1.5195253700757214,0.01153792098968976,1.0457052450394695,-0.5322026975156057,1.0,0.5276258422156277,-1.1091285878695722,0.5676210909817734,0.0
47,1.0114322555378688,1.0,1.0,0.26112260734609416,1.000014009638493,1.0,2.0427571550624446,0.008961050272395691,1.0,-0.5412733602536536,1.0,0.35431415990627063,-1.0990068026689301,0.7102290514099979,0.0
48,1.217743551980808,0.329004329004329,1.002989410728187,0.26146076146076147,1.000031841020495,1.0205980639416914,1.2702170364013523,0.01710929436914183,1.2305474502296982,-0.480802275333326,1.0030450070601138,0.4881422512369596,-1.1664853706732108,0.28018708493333355,0.0
49,1.033917609206489,0.5,1.0001041314892831,0.26115638339154057,1.0000141220867746,1.0002811794428546,1.5799136587085136,0.012475893116381103,1.0,-0.5352262517616216,1.000106070942578,0.6104904132864687,-1.1057546594693581,0.7007726085080809,0.0
50,1.1090320443631043,0.5636363636363636,1.0002905530478143,0.2612746683921061,1.0000294122413524,1.0081223638428316,1.4141582509973805,0.012363358270696487,1.1520625452902713,-0.5140613720395072,1.0002959640967155,0.41083826290510844,-1.1293721582708565,0.35127619287611994,0.0
